NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
NM_001280894.1	Bombus terrestris venom serine protease (VSP), mRNA
NM_001280899.1	Bombus terrestris silk fibroin 3 (F3), mRNA
NM_001280901.1	Bombus terrestris silk fibroin 2 (F2), mRNA
NM_001280904.1	Bombus terrestris silk fibroin 1 (F1), mRNA
NM_001280906.1	Bombus terrestris farnesyl pyrophosphate synthase-like (LOC100650005), mRNA
NM_001280909.1	Bombus terrestris defensin (Def), mRNA
NM_001280911.1	Bombus terrestris fatty acid synthase-like (LOC100652317), mRNA
NM_001280916.1	Bombus terrestris phosphomevalonate kinase (Mpk), mRNA
NM_001280918.1	Bombus terrestris geranylgeranyl pyrophosphate synthase-like (LOC100646723), mRNA
NM_001280921.1	Bombus terrestris kruppel homolog 1 (Kr-h1), mRNA
NM_001280924.1	Bombus terrestris feminizer (fem), mRNA
NM_001280926.1	Bombus terrestris isopentenyl-diphosphate Delta-isomerase 1-like (LOC100646012), mRNA
NM_001280930.1	Bombus terrestris mevalonate kinase (LOC100647908), mRNA
NM_001280933.1	Bombus terrestris acetyl-CoA acetyltransferase (LOC100648426), mRNA
NM_001280936.1	Bombus terrestris diphosphomevalonate decarboxylase (LOC100644850), mRNA
NM_001285398.1	Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650274), mRNA
NM_001286444.1	Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100650033), mRNA
NM_001287563.1	Bombus terrestris acyl-CoA Delta(11) desaturase-like (LOC100649922), mRNA
NM_001287565.1	Bombus terrestris lipase member H-A-like (LOC100646090), mRNA
NM_001304440.1	Bombus terrestris allatotropin receptor (LOC100650865), mRNA
NM_001308306.1	Bombus terrestris 3-hydroxy-3-methylglutaryl-coenzyme A reductase (LOC100651787), mRNA
NM_001308307.1	Bombus terrestris hydroxymethylglutaryl-CoA synthase 1 (LOC100649840), mRNA
NM_001331111.1	Bombus terrestris vitellogenin-like (LOC100643258), mRNA
NM_001353392.1	Bombus terrestris DNA (cytosine-5)-methyltransferase 3B (LOC100648272), mRNA
XM_003392812.4	PREDICTED: Bombus terrestris ubiquitin-like-conjugating enzyme ATG3 (LOC100642312), mRNA
XM_003392813.4	PREDICTED: Bombus terrestris anaphase-promoting complex subunit 7 (LOC100642432), mRNA
XM_003392814.4	PREDICTED: Bombus terrestris PPP2R1A-PPP2R2A-interacting phosphatase regulator 1 (LOC100642550), mRNA
XM_003392815.4	PREDICTED: Bombus terrestris thioredoxin reductase-like selenoprotein T homolog CG3887 (LOC100642672), mRNA
XM_003392816.4	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 13C (LOC100642790), transcript variant X1, mRNA
XM_003392817.4	PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 9 (LOC100642910), transcript variant X1, mRNA
XM_003392820.4	PREDICTED: Bombus terrestris ejaculatory bulb-specific protein 3 (LOC100643514), transcript variant X1, mRNA
XM_003392823.4	PREDICTED: Bombus terrestris exosome complex component RRP42 (LOC100643837), transcript variant X1, mRNA
XM_003392825.4	PREDICTED: Bombus terrestris GTP-binding protein Rheb homolog (LOC100644046), transcript variant X1, mRNA
XM_003392827.4	PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (LOC100644236), mRNA
XM_003392828.4	PREDICTED: Bombus terrestris uncharacterized LOC100644354 (LOC100644354), transcript variant X1, mRNA
XM_003392829.4	PREDICTED: Bombus terrestris uncharacterized LOC100644354 (LOC100644354), transcript variant X2, mRNA
XM_003392833.3	PREDICTED: Bombus terrestris uncharacterized LOC100644871 (LOC100644871), mRNA
XM_003392834.4	PREDICTED: Bombus terrestris exocyst complex component 1 (LOC100644991), mRNA
XM_003392835.4	PREDICTED: Bombus terrestris microfibrillar-associated protein 1 (LOC100645110), mRNA
XM_003392836.4	PREDICTED: Bombus terrestris FAS-associated factor 1 (LOC100645550), transcript variant X1, mRNA
XM_003392837.4	PREDICTED: Bombus terrestris importin-7 (LOC100645666), transcript variant X3, mRNA
XM_003392838.4	PREDICTED: Bombus terrestris NEDD8-conjugating enzyme Ubc12 (LOC100645787), transcript variant X1, mRNA
XM_003392839.4	PREDICTED: Bombus terrestris NEDD8-conjugating enzyme Ubc12 (LOC100645787), transcript variant X2, mRNA
XM_003392840.4	PREDICTED: Bombus terrestris F-box only protein 28 (LOC100645973), mRNA
XM_003392841.4	PREDICTED: Bombus terrestris cilia- and flagella-associated protein 91 (LOC100646091), transcript variant X2, mRNA
XM_003392844.4	PREDICTED: Bombus terrestris serine/threonine-protein kinase 32A (LOC100646573), transcript variant X3, mRNA
XM_003392845.4	PREDICTED: Bombus terrestris isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (LOC100646694), mRNA
XM_003392846.4	PREDICTED: Bombus terrestris methenyltetrahydrofolate synthase domain-containing protein (LOC100646815), mRNA
XM_003392849.4	PREDICTED: Bombus terrestris protein Star (LOC100647171), transcript variant X1, mRNA
XM_003392850.4	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100647285), mRNA
XM_003392854.4	PREDICTED: Bombus terrestris lateral signaling target protein 2 homolog (LOC100647800), mRNA
XM_003392855.4	PREDICTED: Bombus terrestris homeobox protein mls-2 (LOC100647922), mRNA
XM_003392856.4	PREDICTED: Bombus terrestris homeobox protein Nkx-2.5-like (LOC100648043), mRNA
XM_003392877.4	PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754), transcript variant X11, mRNA
XM_003392880.4	PREDICTED: Bombus terrestris growth hormone-inducible transmembrane protein (LOC100651113), transcript variant X1, mRNA
XM_003392883.4	PREDICTED: Bombus terrestris ATP-dependent RNA helicase DHX33 (LOC100651591), mRNA
XM_003392884.4	PREDICTED: Bombus terrestris major facilitator superfamily domain-containing protein 1 (LOC100651709), mRNA
XM_003392885.4	PREDICTED: Bombus terrestris chromatin complexes subunit BAP18 (LOC100651827), transcript variant X2, mRNA
XM_003392887.4	PREDICTED: Bombus terrestris tribbles homolog 2 (LOC100652027), transcript variant X1, mRNA
XM_003392888.4	PREDICTED: Bombus terrestris sterol regulatory element-binding protein 1 (LOC100652148), mRNA
XM_003392890.4	PREDICTED: Bombus terrestris sorbin and SH3 domain-containing protein 1 homolog (LOC100642190), transcript variant X1, mRNA
XM_003392894.4	PREDICTED: Bombus terrestris proteasome subunit alpha type-1 (LOC100642673), mRNA
XM_003392895.4	PREDICTED: Bombus terrestris ER membrane protein complex subunit 8/9 homolog (LOC100642791), mRNA
XM_003392896.4	PREDICTED: Bombus terrestris cysteine-rich hydrophobic domain-containing protein 2 (LOC100642911), mRNA
XM_003392897.4	PREDICTED: Bombus terrestris 60S ribosomal protein L21 (LOC100643028), mRNA
XM_003392899.4	PREDICTED: Bombus terrestris nucleotide exchange factor Sil1 (LOC100643271), transcript variant X1, mRNA
XM_003392903.4	PREDICTED: Bombus terrestris protein BCCIP homolog (LOC100643719), transcript variant X1, mRNA
XM_003392904.4	PREDICTED: Bombus terrestris protein Skeletor, isoforms B/C (LOC100643838), transcript variant X6, mRNA
XM_003392906.4	PREDICTED: Bombus terrestris nuclear pore complex protein Nup107 (LOC100644047), transcript variant X1, mRNA
XM_003392907.4	PREDICTED: Bombus terrestris mitochondrial-processing peptidase subunit beta (LOC100644159), mRNA
