baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Gene	Desc	Source	OrthoGroup	Function
277.121457462813	-0.762009760673515	0.232703338667961	-3.27459745543577	0.00105812634485153	0.0780734217882178	Treatment_Wound_vs_Naive	CPF2	Apis_mellifera_cuticular_protein_CPF2_(CPF2)	Amel	OG0009022	None Immune
25654.4442202049	3.42100087546153	0.623816382941053	5.48398690546219	4.15845566038552e-08	4.05487231029956e-05	Treatment_Wound_vs_Naive	Def1	Apis_mellifera_defensin_1_(Def1),_mRNA	Amel	OG0000635	Immune
214.135267733703	5.12422933835821	1.03615418602838	4.94543129531675	7.59754633842497e-07	0.00045272934458859	Treatment_Wound_vs_Naive	Def2	Apis_mellifera_defensin_2_(Def2),_mRNA	Amel	OG0008855	Immune
5647.0303984369	0.666951742430082	0.163972467384078	4.06746177007789	4.75280027886979e-05	0.0098109079157405	Treatment_Wound_vs_Naive	Foxp	Apis_mellifera_FoxP_protein_(Foxp),_mRNA	Amel	OG0003562	None Immune
38.5275652146134	1.25221694908353	0.346001114160301	3.61911247633551	0.000295615139264454	0.035369754536792	Treatment_Wound_vs_Naive	LOC100576136	PREDICTED:_Apis_mellifera_zinc_finger_BED_domain-containing_protein_1_(LOC100576136),_mRNA	Amel	OG0009911	None Immune
214.179447867043	2.07888449464454	0.460559360017386	4.51382530704851	6.36686673556745e-06	0.00247875272745931	Treatment_Wound_vs_Naive	LOC100576223	PREDICTED:_Apis_mellifera_myb-like_protein_X_(LOC100576223)	Amel	OG0009199	None Immune
624.821852578829	-1.50865149392624	0.360884694282656	-4.18042526554096	2.90964429093373e-05	0.0069352988143456	Treatment_Wound_vs_Naive	LOC100576288	PREDICTED:_Apis_mellifera_uncharacterized_LOC100576288_(LOC100576288)	Amel	Unassigned	Unknown
997.011154544391	-0.998627190676352	0.313896795383088	-3.1813870207168	0.00146571679322731	0.0939180799667067	Treatment_Wound_vs_Naive	LOC100576458	PREDICTED:_Apis_mellifera_urea_transporter_2_(LOC100576458),_mRNA	Amel	OG0007885	None Immune
230.067786453465	0.772985834115566	0.208359816592808	3.70986040761493	0.00020737355568632	0.0272800245861472	Treatment_Wound_vs_Naive	LOC100576478	PREDICTED:_Apis_mellifera_uncharacterized_LOC100576478_(LOC100576478)	Amel	Unassigned	Unknown
7026.9338600849	0.856609702384558	0.260217453058745	3.29189949527012	0.000995131680120726	0.0757005844040774	Treatment_Wound_vs_Naive	LOC100576555	PREDICTED:_Apis_mellifera_cytochrome_b561_domain-containing_protein_2_(LOC100576555),_mRNA	Amel	OG0008950	Putative Immune
